l_orderkey int|l_partkey int|l_suppkey int|l_linenumber int|l_quantity float|l_extendedprice float|l_discount float|l_tax float|l_returnflag string(1)|l_linestatus string(1)|l_shipdate date|l_commitdate date|l_receiptdate date|l_shipinstruct string(25)|l_shipmode string(10)|l_comment string(44)
6500|271|18|2|8|9370.16|0.10|0.01|R|F|1992-12-03|1992-12-05|1992-12-13|COLLECT COD|FOB| theodolites d|
6500|98|19|3|47|46910.23|0.04|0.00|R|F|1993-01-17|1992-12-22|1993-02-14|NONE|MAIL|tions cajole carefully. fluffily unusual |
6501|374|4|1|15|19115.55|0.09|0.04|R|F|1992-04-16|1992-02-27|1992-04-28|NONE|SHIP|s x-ray furiously instead of the|
6501|548|29|2|43|62287.22|0.05|0.08|R|F|1992-02-20|1992-03-29|1992-03-09|DELIVER IN PERSON|AIR|ns are furiously about the fluffily fina|
6501|303|25|3|24|28879.20|0.03|0.06|A|F|1992-04-01|1992-03-28|1992-04-30|NONE|TRUCK|ely regular p|
6501|592|15|4|30|44777.70|0.06|0.03|R|F|1992-01-25|1992-04-04|1992-02-13|NONE|MAIL|ages are caref|
6502|138|19|1|1|1038.13|0.01|0.05|N|O|1995-10-13|1995-10-07|1995-10-17|TAKE BACK RETURN|MAIL|ake final, e|
6502|450|13|2|19|25658.55|0.03|0.04|N|O|1995-11-23|1995-11-02|1995-12-08|COLLECT COD|TRUCK|uests accor|
6502|83|21|3|4|3932.32|0.09|0.08|N|O|1995-12-14|1995-10-07|1995-12-18|COLLECT COD|SHIP|boldly bold accoun|
6502|179|30|4|16|17266.72|0.09|0.03|N|O|1995-10-16|1995-11-14|1995-11-08|COLLECT COD|FOB|its unwind carefully alongside of the brav|
6502|500|7|5|6|8403.00|0.09|0.01|N|O|1995-08-24|1995-10-12|1995-09-20|NONE|SHIP|haggle slyly acr|
6502|503|3|6|41|57543.50|0.01|0.07|N|O|1995-10-17|1995-10-21|1995-10-31|NONE|AIR|s. quickly final accounts integrate|
6503|192|22|1|20|21843.80|0.05|0.05|N|O|1997-09-09|1997-10-02|1997-09-20|TAKE BACK RETURN|REG AIR|avely. slyly special package|
6503|575|2|2|24|35413.68|0.00|0.04|N|O|1997-10-16|1997-09-23|1997-10-17|COLLECT COD|RAIL|g the stealthy, regular|
6503|383|13|3|47|60318.86|0.09|0.01|N|O|1997-10-29|1997-08-24|1997-11-27|NONE|AIR|e slyly. regular ideas|
6528|146|8|1|30|31384.20|0.09|0.01|A|F|1993-05-29|1993-03-12|1993-06-09|TAKE BACK RETURN|AIR|e. furiously special theodolites boost sl|
6528|16|17|2|44|40304.44|0.08|0.05|R|F|1993-04-26|1993-04-06|1993-05-11|DELIVER IN PERSON|SHIP|ly ironic dependencie|
6528|45|24|3|48|45361.92|0.07|0.05|R|F|1993-02-26|1993-03-15|1993-03-12|DELIVER IN PERSON|FOB|quests sleep carefully along the b|
6528|117|18|4|36|36615.96|0.01|0.01|A|F|1993-03-07|1993-03-21|1993-03-10|COLLECT COD|REG AIR|ep. fluffily regular pinto bean|
6529|247|8|1|50|57362.00|0.08|0.03|A|F|1992-12-11|1993-01-29|1992-12-17|DELIVER IN PERSON|MAIL|grouches wake quickly bo|
6529|60|1|2|20|19201.20|0.05|0.04|R|F|1992-12-18|1993-01-18|1992-12-24|DELIVER IN PERSON|REG AIR|p slyly during the slyl|
6529|307|25|3|9|10865.70|0.01|0.06|R|F|1992-12-20|1993-01-01|1993-01-15|TAKE BACK RETURN|REG AIR|aring packages cajole. foxes cajole sly|
6529|513|16|4|9|12721.59|0.09|0.05|A|F|1993-02-11|1993-02-11|1993-02-17|COLLECT COD|MAIL|ntiments cajole |
6529|423|7|5|15|19851.30|0.06|0.00|A|F|1993-02-01|1993-01-24|1993-02-22|TAKE BACK RETURN|SHIP| sleep blithely pending asymptot|
6529|67|17|6|4|3868.24|0.02|0.02|A|F|1993-01-27|1993-01-18|1993-01-29|TAKE BACK RETURN|SHIP| even ideas. quickly even dolp|
6529|246|22|7|20|22924.80|0.09|0.00|A|F|1992-12-07|1993-02-17|1992-12-21|NONE|FOB| ironic platelets ab|
6530|542|23|1|5|7212.70|0.10|0.00|N|O|1997-11-19|1997-10-15|1997-12-07|COLLECT COD|FOB|ly even packages haggle quickly |
6531|85|14|1|27|26597.16|0.00|0.04|R|F|1993-10-06|1993-10-05|1993-10-30|TAKE BACK RETURN|AIR|ate blithely |
6531|237|10|2|18|20470.14|0.07|0.08|R|F|1993-07-20|1993-08-20|1993-08-19|COLLECT COD|RAIL|ular deposits|
6531|198|15|3|18|19767.42|0.10|0.03|R|F|1993-07-28|1993-09-12|1993-07-29|COLLECT COD|REG AIR|ely quiet accounts wak|
6531|170|21|4|1|1070.17|0.06|0.05|R|F|1993-09-29|1993-09-30|1993-10-12|NONE|RAIL| asymptotes wake furiously across|
6531|584|3|5|24|35629.92|0.01|0.00|A|F|1993-08-29|1993-09-13|1993-09-07|TAKE BACK RETURN|REG AIR|even requests according to th|
6531|566|27|6|38|55729.28|0.03|0.00|A|F|1993-08-13|1993-09-28|1993-08-14|DELIVER IN PERSON|RAIL| ironic asymptotes sleep abo|
6532|530|9|1|19|27180.07|0.03|0.03|N|O|1996-04-21|1996-04-30|1996-05-08|DELIVER IN PERSON|SHIP|o the fluffily final excuses|
6532|189|19|2|26|28318.68|0.06|0.00|N|O|1996-06-15|1996-04-02|1996-06-27|TAKE BACK RETURN|SHIP|eep bravely carefully unusual requests. ca|
6532|475|26|3|31|42639.57|0.07|0.03|N|O|1996-06-16|1996-04-19|1996-07-01|COLLECT COD|SHIP|the slyly silen|
6532|244|20|4|9|10298.16|0.01|0.06|N|O|1996-05-26|1996-04-07|1996-06-20|TAKE BACK RETURN|AIR|lly according t|
6533|582|9|1|20|29651.60|0.09|0.07|N|O|1998-04-19|1998-04-19|1998-05-05|DELIVER IN PERSON|AIR|fluffily even requests haggle furiou|
6533|434|27|2|46|61383.78|0.07|0.05|N|O|1998-04-02|1998-05-30|1998-04-03|TAKE BACK RETURN|SHIP|ly furiously final foxes. f|
6533|514|17|3|16|22632.16|0.01|0.08|N|O|1998-05-10|1998-04-27|1998-05-19|NONE|REG AIR|. furiousl|
6533|255|1|4|42|48520.50|0.05|0.06|N|O|1998-05-08|1998-04-24|1998-05-16|COLLECT COD|FOB|regular account|
6533|25|3|5|7|6475.14|0.04|0.05|N|O|1998-03-13|1998-05-10|1998-03-22|TAKE BACK RETURN|FOB| platelets acros|
6534|395|16|1|6|7772.34|0.00|0.05|N|O|1997-05-24|1997-06-28|1997-06-02|COLLECT COD|REG AIR|sly regula|
6534|143|24|2|19|19819.66|0.09|0.00|N|O|1997-07-05|1997-07-01|1997-08-01|TAKE BACK RETURN|FOB|es hinder blithely|
6535|352|11|1|46|57608.10|0.05|0.01|R|F|1992-09-09|1992-07-30|1992-09-15|COLLECT COD|FOB|e slyly. fluffily e|
6535|421|23|2|46|60785.32|0.07|0.01|R|F|1992-08-19|1992-09-05|1992-08-22|DELIVER IN PERSON|TRUCK|gle according to the packa|
6535|227|2|3|19|21417.18|0.02|0.02|A|F|1992-08-16|1992-08-20|1992-09-05|NONE|TRUCK|ly. blithely regular dinos sleep sil|
6535|500|7|4|43|60221.50|0.00|0.07|R|F|1992-07-17|1992-07-18|1992-08-14|COLLECT COD|AIR|equests. furiously r|
6560|340|5|1|32|39690.88|0.10|0.00|A|F|1995-03-25|1995-02-27|1995-04-08|NONE|SHIP|n accounts. furiously busy deposits |
6560|279|28|2|27|31840.29|0.05|0.08|R|F|1995-02-27|1995-03-25|1995-03-23|COLLECT COD|MAIL|platelets cajole according to th|
6560|384|3|3|23|29540.74|0.08|0.01|R|F|1995-04-04|1995-02-14|1995-04-28|COLLECT COD|SHIP|ep fluffily final, express p|
6560|378|19|4|34|43464.58|0.07|0.05|R|F|1995-03-25|1995-03-08|1995-04-20|DELIVER IN PERSON|AIR|carefully ironic epitaphs na|
6560|184|1|5|45|48788.10|0.10|0.06|R|F|1995-01-28|1995-03-27|1995-02-11|COLLECT COD|SHIP| are accor|
6560|66|16|6|43|41540.58|0.00|0.01|R|F|1995-03-06|1995-03-22|1995-03-14|COLLECT COD|TRUCK|usual deposits a|
6560|180|7|7|39|42127.02|0.02|0.05|A|F|1995-02-16|1995-03-10|1995-03-14|DELIVER IN PERSON|MAIL|e. special ins|
6561|386|16|1|49|63032.62|0.10|0.08|R|F|1994-06-09|1994-07-17|1994-07-07|NONE|REG AIR|ut the blithely pend|
6561|370|30|2|45|57166.65|0.04|0.08|A|F|1994-08-23|1994-08-15|1994-09-21|TAKE BACK RETURN|TRUCK|ckly quick packages. fina|
6561|547|8|3|34|49216.36|0.00|0.01|A|F|1994-08-07|1994-07-15|1994-08-28|TAKE BACK RETURN|SHIP|jole furiously regular theodolites. silen|
6561|113|24|4|28|28367.08|0.10|0.00|R|F|1994-06-06|1994-08-12|1994-07-02|TAKE BACK RETURN|RAIL|ghout the fluffily slow escapades|
6562|170|27|1|19|20333.23|0.06|0.06|R|F|1995-02-08|1995-03-06|1995-03-09|COLLECT COD|REG AIR| across the blithely bold requests|
6562|232|23|2|33|37363.59|0.00|0.03|A|F|1995-01-17|1995-02-03|1995-01-25|DELIVER IN PERSON|FOB|ic requests. fluffily ironic deposits hag|
6562|85|26|3|20|19701.60|0.04|0.04|R|F|1995-01-03|1995-03-03|1995-01-28|DELIVER IN PERSON|AIR|p furiously|
6562|42|7|4|9|8478.36|0.09|0.03|A|F|1995-03-24|1995-02-28|1995-04-10|TAKE BACK RETURN|AIR| instructions. furiously idle fox|
6562|253|14|5|22|25371.50|0.04|0.02|A|F|1995-03-08|1995-02-26|1995-03-19|COLLECT COD|REG AIR|the enticingly bol|
6562|513|22|6|45|63607.95|0.10|0.03|R|F|1995-03-24|1995-03-05|1995-04-12|TAKE BACK RETURN|REG AIR|ial requests wake across the carefull|
6563|369|29|1|49|62198.64|0.03|0.06|R|F|1993-01-28|1992-12-18|1993-01-30|TAKE BACK RETURN|REG AIR| packages |
6563|362|3|2|15|18935.40|0.09|0.06|R|F|1992-12-19|1992-12-09|1992-12-30|COLLECT COD|REG AIR|unts are. permanent packages bo|
6563|514|5|3|14|19803.14|0.10|0.06|R|F|1992-12-05|1993-01-11|1992-12-12|NONE|TRUCK|s. furiously ironic ideas shall hav|
6564|498|28|1|34|47548.66|0.06|0.06|A|F|1995-04-11|1995-02-27|1995-04-24|NONE|MAIL|nt, final packages. even, sp|
6564|593|16|2|9|13442.31|0.01|0.01|A|F|1995-02-01|1995-04-02|1995-02-02|TAKE BACK RETURN|SHIP| quickly quiet accounts cajole. unusual id|
6564|142|26|3|35|36474.90|0.09|0.02|A|F|1995-03-07|1995-03-21|1995-03-23|TAKE BACK RETURN|REG AIR| even deposits believe|
6564|108|9|4|14|14113.40|0.10|0.00|R|F|1995-05-14|1995-03-13|1995-05-28|TAKE BACK RETURN|AIR|. quickly unusual accounts boost across the|
6564|444|28|5|16|21511.04|0.07|0.01|A|F|1995-04-20|1995-03-23|1995-05-11|TAKE BACK RETURN|MAIL|ly across th|
6565|422|6|1|35|46284.70|0.07|0.04|N|O|1997-04-03|1997-04-11|1997-04-10|COLLECT COD|MAIL|rhorses boost carefully according to |
6565|300|17|2|21|25206.30|0.09|0.07|N|O|1997-06-26|1997-04-13|1997-07-11|NONE|AIR| haggle quickly silent hockey players; car|
6565|300|19|3|27|32408.10|0.07|0.04|N|O|1997-04-05|1997-03-28|1997-04-27|TAKE BACK RETURN|AIR|ct quickly fina|
6565|6|21|4|16|14496.00|0.07|0.04|N|O|1997-03-07|1997-05-04|1997-03-25|COLLECT COD|AIR|ful platelets are among th|
6565|227|30|5|14|15781.08|0.01|0.00|N|O|1997-05-22|1997-04-11|1997-06-14|DELIVER IN PERSON|SHIP| are fluffily. pending platel|
6565|297|16|6|48|57469.92|0.01|0.03|N|O|1997-04-19|1997-05-23|1997-05-17|DELIVER IN PERSON|TRUCK|raids haggle. final packages doze carefu|
6566|503|10|1|23|32280.50|0.08|0.06|N|O|1995-09-02|1995-08-15|1995-09-13|DELIVER IN PERSON|TRUCK|l packages wake ir|
6566|337|2|2|40|49493.20|0.08|0.07|N|O|1995-08-14|1995-06-27|1995-09-09|DELIVER IN PERSON|AIR|. blithely bold the|
6566|457|14|3|6|8144.70|0.06|0.07|N|O|1995-08-22|1995-07-22|1995-09-15|TAKE BACK RETURN|REG AIR|ve slyly. caref|
6566|458|15|4|9|12226.05|0.09|0.05|N|O|1995-08-08|1995-08-19|1995-09-03|COLLECT COD|FOB|ndencies. blithely expre|
6566|31|18|5|10|9310.30|0.06|0.00|N|O|1995-07-20|1995-07-17|1995-08-06|COLLECT COD|SHIP|out the bold foxes. quickly special package|
6566|325|17|6|48|58815.36|0.06|0.07|N|O|1995-08-27|1995-07-15|1995-09-15|DELIVER IN PERSON|MAIL|ckages hang blithely. da|
6566|160|5|7|17|18022.72|0.10|0.01|N|F|1995-06-09|1995-08-13|1995-07-06|COLLECT COD|REG AIR|pending deposits boos|
6567|268|29|1|2|2336.52|0.09|0.03|N|O|1997-09-24|1997-10-06|1997-09-25|NONE|TRUCK|ular dolphins. re|
6567|449|3|2|2|2698.88|0.03|0.06|N|O|1997-10-03|1997-08-31|1997-10-23|DELIVER IN PERSON|MAIL|uriously pending theodolites ca|
6567|133|14|3|1|1033.13|0.09|0.07|N|O|1997-07-30|1997-08-22|1997-08-15|NONE|SHIP|nag carefully. final braids after the reg|
6567|459|16|4|13|17672.85|0.01|0.02|N|O|1997-11-03|1997-09-11|1997-12-03|DELIVER IN PERSON|SHIP|kages sleep slyly a|
6567|129|2|5|20|20582.40|0.05|0.07|N|O|1997-10-09|1997-09-04|1997-10-15|DELIVER IN PERSON|RAIL| deposits affix|
6592|326|27|1|48|58863.36|0.03|0.06|A|F|1995-03-21|1995-02-07|1995-04-03|TAKE BACK RETURN|TRUCK| packages slee|
6592|182|29|2|37|40040.66|0.09|0.05|A|F|1994-12-25|1995-01-21|1995-01-19|COLLECT COD|RAIL|quests integrate. bold accou|
6592|600|27|3|17|25510.20|0.03|0.08|A|F|1995-02-26|1995-02-28|1995-03-08|TAKE BACK RETURN|REG AIR| pinto beans about|
6592|131|15|4|3|3093.39|0.01|0.03|A|F|1995-01-18|1995-02-23|1995-02-09|TAKE BACK RETURN|MAIL| furiously along th|
6592|374|15|5|41|52249.17|0.04|0.04|A|F|1995-01-27|1995-02-13|1995-02-06|COLLECT COD|AIR|tes. final platelets alongside of the e|
6592|175|20|6|34|36555.78|0.02|0.08|A|F|1995-01-25|1995-02-09|1995-01-31|DELIVER IN PERSON|SHIP|ickly. bold theodolites run|
6593|61|11|1|13|12493.78|0.10|0.00|N|O|1997-07-01|1997-07-05|1997-07-20|DELIVER IN PERSON|REG AIR|e carefully. |
6593|477|28|2|2|2754.94|0.10|0.08|N|O|1997-06-14|1997-06-25|1997-06-30|NONE|FOB|long the carefully final packages. quickly |
6593|378|8|3|25|31959.25|0.09|0.04|N|O|1997-06-19|1997-08-01|1997-06-26|NONE|RAIL|egular Tires|
6593|382|23|4|24|30777.12|0.03|0.02|N|O|1997-06-15|1997-06-24|1997-07-09|TAKE BACK RETURN|REG AIR|ar requests. blithely special |
6593|322|10|5|40|48892.80|0.08|0.03|N|O|1997-08-28|1997-06-29|1997-09-12|COLLECT COD|MAIL|the quickly careful pin|
6593|255|16|6|10|11552.50|0.10|0.00|N|O|1997-08-26|1997-08-11|1997-09-05|NONE|REG AIR|packages affix. blith|
6594|450|22|1|9|12154.05|0.00|0.06|N|O|1996-10-12|1996-10-17|1996-10-25|COLLECT COD|REG AIR|. furiously daring p|
6594|553|4|2|6|8721.30|0.10|0.06|N|O|1996-10-13|1996-10-13|1996-10-29|DELIVER IN PERSON|RAIL|ly even pinto beans at the fluffily bo|
6594|366|4|3|37|46855.32|0.05|0.05|N|O|1996-12-02|1996-10-30|1996-12-05|DELIVER IN PERSON|RAIL|cies haggle fluf|
6594|231|4|4|26|29411.98|0.00|0.03|N|O|1996-12-04|1996-11-10|1996-12-05|COLLECT COD|TRUCK|ress, unusua|
6594|396|7|5|26|33706.14|0.02|0.05|N|O|1996-08-27|1996-11-17|1996-09-02|DELIVER IN PERSON|FOB|deas. blithely ironic foxes according|
6594|290|21|6|16|19044.64|0.10|0.08|N|O|1996-09-12|1996-09-22|1996-10-02|TAKE BACK RETURN|MAIL|s are carefully at the sheaves. final pack|
6594|96|7|7|28|27890.52|0.01|0.02|N|O|1996-11-26|1996-11-02|1996-12-24|NONE|TRUCK|eposits thra|
6595|399|30|1|21|27287.19|0.05|0.01|A|F|1993-01-23|1992-11-05|1993-01-31|COLLECT COD|MAIL|riously regula|
6596|213|16|1|8|8905.68|0.05|0.08|N|O|1995-07-25|1995-09-12|1995-08-13|COLLECT COD|RAIL|sly requests. furiously express requ|
6596|33|28|2|3|2799.09|0.05|0.05|N|O|1995-08-26|1995-10-12|1995-09-10|DELIVER IN PERSON|MAIL|ids haggle blithely furiously|
6596|486|30|3|48|66551.04|0.02|0.08|N|O|1995-10-24|1995-10-01|1995-10-25|TAKE BACK RETURN|MAIL|s mold slyly near the accounts. |
6596|21|13|4|9|8289.18|0.07|0.07|N|O|1995-09-27|1995-09-21|1995-10-09|COLLECT COD|FOB|carefully. regular requests cajole blithel|
6596|385|4|5|17|21851.46|0.00|0.01|N|O|1995-09-11|1995-09-26|1995-09-23|COLLECT COD|SHIP|sly silent packa|
6596|337|14|6|41|50730.53|0.02|0.07|N|O|1995-10-11|1995-10-01|1995-11-09|COLLECT COD|FOB|es detect carefully blithely even pack|
6596|42|13|7|3|2826.12|0.06|0.01|N|O|1995-08-26|1995-09-01|1995-09-15|TAKE BACK RETURN|AIR|e. blithely s|
6597|85|23|1|34|33492.72|0.09|0.03|N|O|1998-08-20|1998-09-24|1998-09-10|TAKE BACK RETURN|AIR|e slyly busi|
6597|474|9|2|43|59102.21|0.08|0.08|N|O|1998-09-10|1998-09-18|1998-10-04|NONE|TRUCK|ng dolphins sleep after the fluf|
6598|431|3|1|31|41274.33|0.07|0.03|R|F|1992-09-06|1992-06-21|1992-09-08|COLLECT COD|SHIP|e about the |
6598|474|17|2|17|23365.99|0.01|0.08|A|F|1992-05-20|1992-06-16|1992-06-13|NONE|RAIL|yly final courts. accoun|
6599|481|2|1|41|56640.68|0.00|0.07|N|O|1998-04-26|1998-06-16|1998-05-04|DELIVER IN PERSON|SHIP| the dolph|
6599|437|30|2|11|14711.73|0.02|0.02|N|O|1998-08-06|1998-07-13|1998-08-08|TAKE BACK RETURN|REG AIR|ending deposi|
6599|542|28|3|35|50488.90|0.03|0.01|N|O|1998-05-05|1998-05-26|1998-05-11|NONE|REG AIR|oxes boost. final packages cajole furiousl|
6599|597|20|4|37|55410.83|0.02|0.06|N|O|1998-05-01|1998-06-07|1998-05-03|COLLECT COD|TRUCK|e of the silent accounts impress alo|
6599|593|12|5|1|1493.59|0.03|0.05|N|O|1998-07-24|1998-06-24|1998-08-21|DELIVER IN PERSON|FOB| ironic requests believe furiously among|
6624|383|2|1|36|46201.68|0.01|0.05|N|O|1997-11-06|1997-10-16|1997-12-01|TAKE BACK RETURN|RAIL|ernes use silent, f|
6625|581|4|1|9|13334.22|0.08|0.05|R|F|1993-09-21|1993-10-03|1993-09-22|TAKE BACK RETURN|MAIL|g the bold packages|
6626|202|2|1|4|4408.80|0.10|0.07|R|F|1994-06-11|1994-06-24|1994-06-29|COLLECT COD|RAIL| quickly final platelets. unusual, ironic T|
6626|189|19|2|30|32675.40|0.08|0.05|A|F|1994-06-22|1994-06-14|1994-06-29|TAKE BACK RETURN|TRUCK|egular package|
6626|525|10|3|26|37063.52|0.06|0.08|A|F|1994-07-22|1994-07-13|1994-08-07|COLLECT COD|FOB|ccording to th|
6626|340|5|4|11|13643.74|0.05|0.00|R|F|1994-07-08|1994-06-27|1994-08-02|DELIVER IN PERSON|REG AIR|ounts nag furio|
6627|339|10|1|22|27265.26|0.09|0.07|N|O|1995-06-18|1995-04-27|1995-06-21|TAKE BACK RETURN|FOB|y final platelets. blithely regular reques|
6627|569|20|2|37|54373.72|0.09|0.06|R|F|1995-05-17|1995-05-23|1995-06-15|COLLECT COD|REG AIR|ic instruct|
6628|204|21|1|49|54105.80|0.07|0.02|A|F|1994-06-19|1994-06-19|1994-07-14|NONE|FOB|cajole carefully deposits|
6628|285|4|2|11|13038.08|0.09|0.06|A|F|1994-04-30|1994-07-01|1994-05-20|NONE|RAIL|egular deposits. furiously final deposits |
6628|508|15|3|7|9859.50|0.01|0.00|R|F|1994-08-18|1994-06-20|1994-09-12|COLLECT COD|AIR|express frays are slowly |
6628|408|19|4|27|35326.80|0.06|0.06|A|F|1994-07-14|1994-06-05|1994-07-15|DELIVER IN PERSON|AIR| packages cajole fluffily according to |
6629|285|4|1|31|36743.68|0.03|0.07|R|F|1994-05-09|1994-03-23|1994-05-18|DELIVER IN PERSON|TRUCK| wake slyly alongside of t|
6629|412|23|2|1|1312.41|0.06|0.07|A|F|1994-03-29|1994-03-15|1994-04-22|TAKE BACK RETURN|REG AIR| alongside of the fina|
6629|548|29|3|8|11588.32|0.00|0.05|R|F|1994-05-09|1994-04-14|1994-06-01|TAKE BACK RETURN|RAIL| affix fluffily! slyly special excuses|
6629|559|15|4|14|20433.70|0.05|0.04|R|F|1994-04-26|1994-04-07|1994-05-20|NONE|AIR|ctions are furious|
6629|537|16|5|21|30188.13|0.02|0.00|R|F|1994-05-12|1994-03-24|1994-05-19|NONE|RAIL|is are above|
6629|532|17|6|38|54436.14|0.06|0.08|R|F|1994-03-03|1994-04-02|1994-03-18|NONE|SHIP|ideas are alongside of the quickly bold|
6630|104|5|1|49|49200.90|0.00|0.03|N|O|1997-03-08|1997-02-02|1997-03-09|NONE|AIR|se blithely quickl|
6630|277|8|2|50|58863.50|0.06|0.04|N|O|1997-03-03|1997-01-19|1997-03-12|DELIVER IN PERSON|REG AIR|egular dependencies. quickly express courts|
6630|454|5|3|23|31152.35|0.08|0.01|N|O|1997-02-15|1997-01-26|1997-02-24|TAKE BACK RETURN|REG AIR|ckly regular foxes prom|
6630|219|10|4|18|20145.78|0.03|0.02|N|O|1997-01-23|1997-02-13|1997-02-12|TAKE BACK RETURN|RAIL| asymptotes around the quickly specia|
6630|474|9|5|29|39859.63|0.03|0.01|N|O|1996-12-16|1997-02-17|1997-01-11|DELIVER IN PERSON|TRUCK|y special dependencie|
6630|9|17|6|42|38178.00|0.07|0.05|N|O|1997-02-06|1997-02-14|1997-02-13|TAKE BACK RETURN|SHIP|deposits. bold |
6630|419|20|7|26|34304.66|0.08|0.07|N|O|1997-03-18|1997-01-04|1997-03-24|DELIVER IN PERSON|SHIP|ly regular packages. furiously |
6631|232|23|1|47|53214.81|0.01|0.02|N|O|1995-11-19|1995-10-23|1995-12-02|TAKE BACK RETURN|RAIL| final requests. q|
6631|160|17|2|5|5300.80|0.09|0.08|N|O|1995-12-14|1995-11-12|1995-12-27|NONE|AIR|es about the accounts sle|
6631|194|15|3|18|19695.42|0.06|0.07|N|O|1995-11-10|1995-11-06|1995-11-29|NONE|AIR|accounts sleep. quickly pending requests|
6631|26|11|4|28|25928.56|0.03|0.08|N|O|1995-09-18|1995-11-10|1995-10-01|COLLECT COD|AIR|ss the ruthlessly unusual notornis c|
6631|483|27|5|49|67790.52|0.07|0.04|N|O|1995-11-03|1995-11-30|1995-11-16|NONE|TRUCK|ess, ironic packages nag furiously a|
6656|600|1|1|29|43517.40|0.02|0.00|R|F|1994-08-17|1994-07-10|1994-08-23|TAKE BACK RETURN|MAIL|fully before the express accounts. even p|
6656|329|4|2|2|2458.64|0.09|0.06|R|F|1994-08-07|1994-08-09|1994-08-31|DELIVER IN PERSON|SHIP|iously final de|
6656|271|18|3|3|3513.81|0.08|0.06|R|F|1994-05-20|1994-07-19|1994-06-07|TAKE BACK RETURN|REG AIR|heodolites. carefully special foxes hag|
6656|551|7|4|26|37740.30|0.10|0.04|A|F|1994-06-18|1994-08-06|1994-07-10|TAKE BACK RETURN|TRUCK| asymptotes. slyly |
6656|27|28|5|38|35226.76|0.01|0.00|A|F|1994-06-28|1994-06-22|1994-07-08|TAKE BACK RETURN|RAIL|o the regular accounts. slyly regular acco|
6656|472|15|6|32|43919.04|0.05|0.08|A|F|1994-05-23|1994-07-24|1994-06-16|TAKE BACK RETURN|AIR|ietly even requests. quickly final t|
6656|455|28|7|29|39308.05|0.02|0.00|A|F|1994-07-13|1994-08-01|1994-08-09|COLLECT COD|TRUCK| the regular deposits. carefully regular |
6657|335|24|1|8|9882.64|0.00|0.02|R|F|1992-03-14|1992-02-22|1992-04-10|DELIVER IN PERSON|SHIP| against the requests. carefully sil|
6657|61|29|2|29|27870.74|0.04|0.08|R|F|1992-03-07|1992-02-16|1992-03-13|COLLECT COD|TRUCK|y ironic requests. carefully ironic pint|
6658|411|2|1|34|44587.94|0.02|0.01|N|O|1996-10-13|1996-08-05|1996-11-03|COLLECT COD|SHIP| even, regular foxes affix quickly a|
6659|549|30|1|26|37688.04|0.04|0.03|N|O|1998-01-18|1998-03-12|1998-01-23|DELIVER IN PERSON|SHIP|requests are|
6659|176|21|2|20|21523.40|0.07|0.07|N|O|1998-03-17|1998-03-27|1998-04-03|TAKE BACK RETURN|TRUCK|l accounts; carefully final packages use |
6659|49|6|3|4|3796.16|0.01|0.00|N|O|1998-04-30|1998-04-12|1998-05-27|COLLECT COD|REG AIR| regular pat|
6660|493|23|1|25|34837.25|0.03|0.00|N|O|1998-07-16|1998-07-11|1998-07-26|DELIVER IN PERSON|SHIP|. slyly bold deposits sleep across th|
6660|86|6|2|43|42401.44|0.07|0.02|N|O|1998-05-26|1998-07-27|1998-06-20|DELIVER IN PERSON|MAIL|equests. furiously final requests |
6660|91|2|3|1|991.09|0.09|0.06|N|O|1998-07-07|1998-07-29|1998-07-19|TAKE BACK RETURN|MAIL| instructions haggle |
6660|308|9|4|8|9666.40|0.10|0.04|N|O|1998-08-29|1998-07-03|1998-09-03|NONE|MAIL|s affix slyly blithely regul|
6660|23|8|5|33|30459.66|0.01|0.01|N|O|1998-06-28|1998-08-02|1998-07-17|DELIVER IN PERSON|FOB|ccounts are|
6661|382|23|1|42|53859.96|0.06|0.01|R|F|1993-07-06|1993-06-17|1993-07-31|TAKE BACK RETURN|RAIL|ly unusual theodolites. fluffily r|
6661|308|26|2|15|18124.50|0.02|0.01|A|F|1993-07-06|1993-05-20|1993-07-30|DELIVER IN PERSON|AIR|e slyly slyly ironic deposits. carefully|
6662|175|26|1|27|29029.59|0.08|0.04|N|O|1996-02-05|1996-02-13|1996-03-06|NONE|SHIP| foxes wake. sly accou|
6662|275|22|2|19|22330.13|0.10|0.07|N|O|1996-02-21|1995-12-25|1996-03-15|COLLECT COD|RAIL|es. blithely regula|
6662|228|3|3|8|9025.76|0.04|0.08|N|O|1995-12-14|1996-02-04|1995-12-28|NONE|REG AIR|uick ideas. ex|
6662|136|20|4|39|40409.07|0.03|0.01|N|O|1996-02-26|1996-01-21|1996-03-01|NONE|RAIL|sly regular packages wake fluffily blit|
6663|266|12|1|35|40819.10|0.07|0.00|A|F|1995-05-25|1995-04-17|1995-06-13|NONE|RAIL|uriously. car|
6663|552|3|2|11|15978.05|0.07|0.04|N|F|1995-05-23|1995-04-12|1995-06-19|COLLECT COD|AIR| blithely sile|
6663|250|26|3|17|19554.25|0.01|0.04|A|F|1995-02-07|1995-03-13|1995-03-02|DELIVER IN PERSON|SHIP|oss the silent|
6663|383|13|4|20|25667.60|0.09|0.07|R|F|1995-02-22|1995-04-28|1995-03-06|TAKE BACK RETURN|SHIP|ess orbits |
